航班号,出港城市,到港城市,出发时刻,班期,产品,航空公司,起飞城市所属省/市,降落城市所属省/市,起飞城市机场名称,降落城市机场名称,起飞机场IATA代码,降落机场IATA代码,降落时刻
PN6377,郑州,昆明,6:00,1234567,666/2666,西部航空,河南省,云南省,郑州新郑国际机场,昆明长水国际机场,CGO,KMG,8:35
PN6415,重庆市,合肥,6:00,24,666/2666,西部航空,重庆,安徽省,重庆江北国际机场,合肥新桥国际机场,CKG,HFE,8:00
PN6497,重庆市,中卫,6:00,1357,666/2666,西部航空,重庆,宁夏,重庆江北国际机场,中卫沙坡头机场,CKG,ZHY,8:10
PN6497,重庆市,乌鲁木齐,6:00,1357,666/2666,西部航空,重庆,新疆,重庆江北国际机场,乌鲁木齐天山国际机场,CKG,URC,11:50
PN6259,重庆市,南京,6:05,1234567,666/2666,西部航空,重庆,江苏省,重庆江北国际机场,南京禄口国际机场,CKG,NKG,8:15
9H8309,西安,大连,6:10,1357,666/2666,长安航空,陕西省,辽宁,西安咸阳国际机场,大连周水子国际机场,XIY,DLC,8:30
9H8395,西安,桂林,6:10,246,666/2666,长安航空,陕西省,广西,西安咸阳国际机场,桂林两江国际机场,XIY,KWL,8:30
GS7583,西安,天津,6:10,1357,666/2666,天津航空,陕西省,天津,西安咸阳国际机场,天津滨海国际机场,XIY,TSN,7:55
HU7735,深圳,郑州,6:10,1357,666/2666,海南航空,广东省,河南省,深圳宝安国际机场,郑州新郑国际机场,SZX,CGO,9:00
PN6453,郑州,广州,6:10,1234567,666/2666,西部航空,河南省,广东省,郑州新郑国际机场,广州白云国际机场,CGO,CAN,8:25
GS7583,西安,哈尔滨,6:10,1357,666/2666,天津航空,陕西省,黑龙江省,西安咸阳国际机场,哈尔滨太平国际机场,XIY,HRB,11:20
9H8317,西安,敦煌,6:15,1234567,666/2666,长安航空,陕西省,甘肃省,西安咸阳国际机场,敦煌莫高国际机场,XIY,DNH,9:00
9H8393,西安,西双版纳,6:15,1234567,666/2666,长安航空,陕西省,云南省,西安咸阳国际机场,西双版纳嘎洒国际机场,XIY,JHG,9:00
PN6283,重庆市,温州,6:15,246,666/2666,西部航空,重庆,浙江省,重庆江北国际机场,温州龙湾国际机场,CKG,WNZ,8:45
9H8305,西安,昆明,6:20,246,666/2666,长安航空,陕西省,云南省,西安咸阳国际机场,昆明长水国际机场,XIY,KMG,8:45
9H8387,西安,青岛,6:20,1357,666/2666,长安航空,陕西省,山东省,西安咸阳国际机场,青岛胶东国际机场,XIY,TAO,8:30
GS7583,西安,天津,6:20,46,666/2666,天津航空,陕西省,天津,西安咸阳国际机场,天津滨海国际机场,XIY,TSN,7:55
GS7583,西安,天津,6:20,2,666/2666,天津航空,陕西省,天津,西安咸阳国际机场,天津滨海国际机场,XIY,TSN,7:55
HU7587,西安,桂林,6:20,35,666/2666,海南航空,陕西省,广西,西安咸阳国际机场,桂林两江国际机场,XIY,KWL,9:00
HU7739,深圳,太原,6:20,24,666/2666,海南航空,广东省,山西,深圳宝安国际机场,太原武宿国际机场,SZX,TYN,8:55
HU7763,深圳,兰州,6:20,246,666/2666,海南航空,广东省,甘肃省,深圳宝安国际机场,兰州中川国际机场,SZX,LHW,9:25
PN6215,重庆市,昌都,6:20,1234567,666/2666,西部航空,重庆,西藏,重庆江北国际机场,昌都邦达机场,CKG,BPX,8:20
Y87545,上海,柳州,6:20,1234567,666/2666,金鹏航空,上海市,广西,上海浦东国际机场,柳州白莲机场,PVG,LZH,9:05
Y87581,上海,吐鲁番,6:20,135,666/2666,金鹏航空,上海市,新疆,上海浦东国际机场,吐鲁番交河机场,PVG,TLQ,11:20
GS7583,西安,哈尔滨,6:20,46,666/2666,天津航空,陕西省,黑龙江省,西安咸阳国际机场,哈尔滨太平国际机场,XIY,HRB,11:20
GS7583,西安,哈尔滨,6:20,2,666/2666,天津航空,陕西省,黑龙江省,西安咸阳国际机场,哈尔滨太平国际机场,XIY,HRB,11:20
9H8349,西安,长春,6:25,1234567,666/2666,长安航空,陕西省,吉林省,西安咸阳国际机场,长春龙嘉国际机场,XIY,CGQ,9:40
HU7735,深圳,郑州,6:25,24,666/2666,海南航空,广东省,河南省,深圳宝安国际机场,郑州新郑国际机场,SZX,CGO,9:00
HU7739,深圳,太原,6:25,6,666/2666,海南航空,广东省,山西,深圳宝安国际机场,太原武宿国际机场,SZX,TYN,8:55
HU7761,深圳,宁波,6:25,1357,666/2666,海南航空,广东省,浙江省,深圳宝安国际机场,宁波栎社国际机场,SZX,NGB,9:00
HU7763,深圳,兰州,6:25,1357,666/2666,海南航空,广东省,甘肃省,深圳宝安国际机场,兰州中川国际机场,SZX,LHW,9:25
JD5037,海口,广元,6:25,246,666/2666,首都航空,海南省,四川省,海口美兰国际机场,广元盘龙机场,HAK,GYS,9:00
JD5321,海口,宜昌,6:25,1357,666/2666,首都航空,海南省,湖北省,海口美兰国际机场,宜昌三峡机场,HAK,YIH,8:30
JD5762,海口,恩施,6:25,1357,666/2666,首都航空,海南省,湖北省,海口美兰国际机场,恩施许家坪机场,HAK,ENH,8:25
PN6219,重庆市,阜阳,6:25,1234567,666/2666,西部航空,重庆,安徽省,重庆江北国际机场,阜阳西关机场,CKG,FUG,8:40
PN6283,重庆市,温州,6:25,17,666/2666,西部航空,重庆,浙江省,重庆江北国际机场,温州龙湾国际机场,CKG,WNZ,8:55
PN6301,重庆市,泉州,6:25,1234567,666/2666,西部航空,重庆,福建省,重庆江北国际机场,泉州晋江国际机场,CKG,JJN,8:55
